gene,resistant_present,susceptible_present,resistant_absent,susceptible_absent,odds_ratio,p_value,adjusted_p_value,log2_odds_ratio,minus_log10_adj_p,association_category
KPC_2,597,20,189,1638,257.6610447243384,0,0,8.00933062518247,Inf,Resistance-associated
KPC_family,665,26,121,1632,342.81337613544173,0,0,8.421279592421689,Inf,Resistance-associated
CTX_M_65,277,11,509,1647,81.335013377696,3.3807887981164555e-136,9.928249770468657e-134,6.3458046372512085,133.0031273055855,Resistance-associated
rmtB,312,76,474,1582,13.68639214489466,4.335320679954898e-103,9.548543797600663e-101,3.7746702843133253,100.02006285552493,Resistance-associated
oqxA,435,1537,351,121,0.09767696462679087,4.974393470801885e-100,8.764881295552921e-98,-3.3558378214100686,97.05725396126276,Susceptibility-associated
oqxB,447,1538,339,120,0.10300512780849543,3.035066226725616e-94,4.456488909575447e-92,-3.279211935345437,91.35100716992517,Susceptibility-associated
AAC6_Ib8,242,38,544,1620,18.937958967159542,3.0426441374968063e-90,3.8293849787638375e-88,4.24320894804701,87.41687097062065,Resistance-associated
SHV_64,270,69,516,1589,12.039120802464385,5.143741707985349e-85,5.6645455559188656e-83,3.5896581331445643,82.24683492613127,Resistance-associated
TEM_family,579,656,207,1002,4.269724180260208,2.991169141384261e-57,2.9280222372883713e-55,2.094142876257187,54.533425629288864,Resistance-associated
CatA2_family,189,55,597,1603,9.215699432366522,2.236866514041326e-53,1.970679398870408e-51,3.204093664425026,50.7053840234256,Resistance-associated
catII,189,56,597,1602,9.04543928981376,7.146808457891944e-53,5.723943864911639e-51,3.177190568722286,50.2423046340455,Resistance-associated
TEM_1,562,647,224,1011,3.918136005824215,5.950593913410142e-52,4.368727698095279e-50,1.970167477116116,49.35964502393316,Resistance-associated
OmpK36,314,1195,472,463,0.2578942508846463,7.539261596086075e-52,5.109299589347564e-50,-1.9551484827244043,49.29163863124104,Susceptibility-associated
fyuA,610,766,176,892,4.033565966777269,1.6731905919485277e-50,1.0529149367904664e-48,2.0120558506175006,47.977606713310934,Resistance-associated
SHV_11,582,700,204,958,3.902441671162277,2.2064399159725064e-50,1.2959157106478521e-48,1.964377068755699,47.8874232450634,Resistance-associated
aadA,344,260,442,1398,4.181908022998052,1.2031119236968778e-48,6.624635029855933e-47,2.064161331601375,46.178838043260704,Resistance-associated
LAP_family,172,65,614,1593,6.859096509691104,2.5253907390763465e-41,1.3087466124272124e-39,2.7780185549941128,38.88314442944382,Resistance-associated
vgaC,665,966,121,692,3.934936808550361,5.108148728398855e-41,2.500155016510773e-39,1.9763404675693468,38.60203306303673,Resistance-associated
QacE,522,647,264,1011,3.0881788160736927,4.561641690949294e-37,2.1151612261717518e-35,1.6267562919822007,34.67465652333949,Resistance-associated
FosA3,110,21,676,1637,12.67006022589763,2.1275467221733126e-36,9.371843311173441e-35,3.663351477092789,34.02817498102915,Resistance-associated
sul1,515,656,271,1002,2.9013855844994323,1.9574998292374996e-33,8.212177855039224e-32,1.5367420376522838,31.08554165347757,Resistance-associated
SHV_1,49,418,737,1240,0.1973410839225393,3.920222770017443e-33,1.5698710274478944e-31,-2.341236756661253,30.804136025532465,Susceptibility-associated
KPC_3,70,4,716,1654,40.37448770764119,1.0416906414822563e-30,3.990128065851599e-29,5.335372049150037,28.399013165115232,Resistance-associated
aadA15,80,15,706,1643,12.395569683113466,1.2728409646735089e-26,4.672387041155672e-25,3.6317526720898257,24.330461189252667,Resistance-associated
CTX_M_family,482,696,304,962,2.190781952767626,4.584820689246421e-19,1.615690810890439e-17,1.131445900889034,16.791641745029,Resistance-associated
dfrA14,239,246,547,1412,2.5068615630896316,1.6286529763994394e-18,5.518627970030408e-17,1.3258823281388992,16.258168882254502,Resistance-associated
CTX_M_15,116,500,670,1158,0.40114486109457664,3.282891125195098e-17,1.0711952152951413e-15,-1.3178047792969303,14.970131375853738,Susceptibility-associated
QnrB10,102,461,684,1197,0.3873584749273311,4.541385527608866e-17,1.4289145177940755e-15,-1.3682587904748116,14.844993751307534,Susceptibility-associated
OXA_48,16,148,770,1510,0.2121053740242023,4.804380386166343e-12,1.4595376276594995e-10,-2.2371469206014156,9.835784704187965,Susceptibility-associated
QnrB_family,262,336,524,1322,1.9667077842563898,5.839000178360263e-12,1.7147197190451304e-10,0.9757826162224846,9.765806857790206,Resistance-associated
OXA_48_family,40,230,746,1428,0.33303418792463785,1.1181970076620642e-11,3.1778437540331565e-10,-1.5862578088292303,9.49786745968665,Susceptibility-associated
CMY_CMY_2_CFE_LAT_family,40,14,746,1644,6.291059890627707,2.04410448313031e-10,5.627675155118134e-9,2.6533030966176403,8.249670979185286,Resistance-associated
sul2,359,541,427,1117,1.7355290953014815,7.035901037942432e-10,1.8783723680082673e-8,0.7953755514502282,7.726218309119553,Resistance-associated
QnrB4,29,177,757,1481,0.320663831381912,7.499364789769208e-10,1.943217758760786e-8,-1.6408664577545902,7.711478529235978,Susceptibility-associated
TEM_12,38,14,748,1644,5.960611579732601,1.1513712527357465e-9,2.8981659247434078e-8,2.5754603638721782,7.537876754083046,Resistance-associated
AAC6_Ib_AAC6_II,165,191,621,1467,2.040135946621463,1.4293024012321277e-9,3.497820598570845e-8,1.0286652909133471,7.456202469027941,Resistance-associated
DHA_MOR_family,33,183,753,1475,0.353359255091136,4.674353229239446e-9,1.1130014040432303e-7,-1.5007923987070977,6.953504287805595,Susceptibility-associated
DHA_1,32,179,754,1479,0.35079289691237037,7.536898581843993e-9,1.7473704343696207e-7,-1.5113085594566193,6.757615016855204,Susceptibility-associated
sat_1,37,16,749,1642,5.065900471796293,1.595828504116626e-8,3.6049356721198655e-7,2.3408187331387618,6.443102480595768,Resistance-associated
blaKPC,15,0,771,1658,Inf,3.716541351306904e-8,8.185682326253455e-7,Inf,6.0869451136648784,Resistance-associated
AAC6_Ib10,27,8,759,1650,7.330494513982013,4.8271418797150856e-8,1.0372468282997538e-6,2.8739105256176036,5.984117884485513,Resistance-associated
SHV_187,1,50,785,1608,0.04099197605754761,6.621224233151123e-8,1.3888806070014616e-6,-4.608514651626639,5.857335086119156,Susceptibility-associated
acrF,18,123,768,1535,0.29260738083924,7.356684697886118e-8,1.5072649346134115e-6,-1.7729619338666371,5.821810404269336,Susceptibility-associated
SHV_27,2,56,784,1602,0.07301723474749433,8.33446375775235e-8,1.6687869478590502e-6,-3.7756191566033763,5.777599105666681,Susceptibility-associated
AAC6_Ib_cr,147,475,639,1183,0.5730644504696931,9.661251806018526e-8,1.8914584091338492e-6,-0.8032306921283603,5.723203203872825,Susceptibility-associated
dfrA17,39,20,747,1638,4.273105616446238,1.0075319674977016e-7,1.929642746446685e-6,2.0952849759097685,5.714523088716825,Resistance-associated
CMY_16,14,0,772,1658,Inf,1.169843974569405e-7,2.1928351948843528e-6,Inf,5.6589940070100555,Resistance-associated
sat2,35,16,751,1642,4.779427271753235,1.2628889634414262e-7,2.3179274516497844e-6,2.256837747556165,5.634900161056303,Resistance-associated
QnrA1,25,8,761,1650,6.769813873471831,2.8938030399749226e-7,5.2029397514651165e-6,2.7591161694708073,5.283751203079119,Resistance-associated
AAC6_Ib7,21,5,765,1653,9.066803823209536,4.1157082100351607e-7,7.251877866081954e-6,3.18059406993236,5.139549518770313,Resistance-associated
dfrA12,181,242,605,1416,1.7501853159303529,4.3757363899245065e-7,7.558870116712725e-6,0.8075076878970303,5.121543117031805,Resistance-associated
QnrS1,233,337,553,1321,1.6513162540836217,6.343609632032356e-7,1.0747538626577895e-5,0.723616446420073,4.968690985356851,Resistance-associated
aadA2,206,288,580,1370,1.6892312129980902,6.479000211315758e-7,1.0769809785224873e-5,0.7563668100907834,4.967791967078687,Resistance-associated
MexCD_OprJ_system,7,72,779,1586,0.198002749411332,1.025001072675445e-6,1.6418653545946674e-5,-2.3364076315796765,4.7846624611960005,Susceptibility-associated
MexCD_OprJ,7,72,779,1586,0.198002749411332,1.025001072675445e-6,1.6418653545946674e-5,-2.3364076315796765,4.7846624611960005,Susceptibility-associated
CmlA_family,92,98,694,1560,2.1095490106822745,1.4526399658928372e-6,2.2853139463421243e-5,1.0769346057591584,4.641054130036879,Resistance-associated
CTX_M_14,95,105,691,1553,2.0328276331166983,2.634753256538712e-6,4.072311612299308e-5,1.0234878918230046,4.3901589972910955,Resistance-associated
rmtF,4,56,782,1602,0.14639137819034412,3.6755648075918206e-6,5.4884281279464305e-5,-2.7720975071692155,4.260552018592747,Susceptibility-associated
aacC,13,1,773,1657,27.834778619384636,3.629845760678814e-6,5.4884281279464305e-5,4.798816703832585,4.260552018592747,Resistance-associated
aph4_Ia,5,59,781,1599,0.17357243213493934,4.3863061644932075e-6,6.440559551530859e-5,-2.5263902668081095,4.19107639978528,Susceptibility-associated
AAC6_Ib,115,139,671,1519,1.8724670538262793,4.877503054999353e-6,7.044393756482672e-5,0.9049403345987935,4.152156376513927,Resistance-associated
sul3,9,74,777,1584,0.24805261077158597,6.530917254418973e-6,9.280222743779217e-5,-2.0112819531076953,4.032441599725831,Susceptibility-associated
qacE,35,24,751,1634,3.171322001960133,1.5086707577997136e-5,2.109744345431028e-4,1.665084369730001,3.675770168444233,Resistance-associated
tetC,286,461,500,1197,1.4850259028706547,2.276067947425967e-5,3.1331497838785573e-4,0.5704880957513744,3.5040188426679255,Resistance-associated
estX,7,61,779,1597,0.23537421632028108,3.134624495623883e-5,4.2486218163763703e-4,-2.0869718035007585,3.3717519251520898,Susceptibility-associated
arr_3,70,246,716,1412,0.5612803046659461,3.403405397696139e-5,4.475224112492983e-4,-0.8332066588892951,3.349185210988986,Susceptibility-associated
TetA,284,460,502,1198,1.473194064072348,3.380649158986119e-5,4.475224112492983e-4,0.5589474893237888,3.349185210988986,Resistance-associated
CMY_2,15,4,771,1654,8.037528054945344,3.518785308112107e-5,4.4928258789083574e-4,3.0067518681680974,3.3474804123205293,Resistance-associated
QnrB12,0,27,786,1631,0,3.496421077785328e-5,4.4928258789083574e-4,-Inf,3.3474804123205293,Susceptibility-associated
tetA,244,383,542,1275,1.4984485225097919,3.758193482613044e-5,4.7299549402601306e-4,0.583469522559867,3.3251429965327155,Resistance-associated
OXA_1,110,345,676,1313,0.6194022253577658,4.6991697167312424e-5,5.830941578084824e-4,-0.6910515286218873,3.234261309881046,Susceptibility-associated
QnrB1,52,196,734,1462,0.5285687669450733,5.446840962354267e-5,6.664815121991817e-4,-0.919836916038633,3.176211893153706,Susceptibility-associated
aac3_IId,128,173,658,1485,1.6694599181146967,5.584791001639339e-5,6.740001195129121e-4,0.7393814563052997,3.1713400264560843,Resistance-associated
SHV_26,0,26,786,1632,0,5.936255278231553e-5,7.06735256773243e-4,-Inf,3.150743242574999,Susceptibility-associated
APH3_VI,20,103,766,1555,0.39430497085723265,6.30010251150406e-5,7.303145148204049e-4,-1.3426161968030974,3.13649006777733,Susceptibility-associated
aac3_IVa,5,51,781,1607,0.20179407251577114,6.258099480676125e-5,7.303145148204049e-4,-2.3090442974386174,3.13649006777733,Susceptibility-associated
dfrA1,66,71,720,1587,2.0483374235797833,6.678704894536676e-5,7.641479236476378e-4,1.0344533907420588,3.1168225626213113,Resistance-associated
