gene1,gene2,count
"folA,_Dfr",MarR,2285
oqxA,oqxB,1972
MarR,oqxB,1949
MarR,oqxA,1939
"folA,_Dfr",oqxB,1929
"folA,_Dfr",oqxA,1919
fosA,MarR,1520
"folA,_Dfr",fosA,1513
fosA,oqxB,1283
fosA,oqxA,1272
"folA,_Dfr",sul1,1148
MarR,sul1,1145
oqxB,sul1,944
oqxA,sul1,932
APH3_I,"folA,_Dfr",897
APH3_I,MarR,896
MarR,sul2,885
"folA,_Dfr",sul2,878
APH3_I,oqxB,796
APH3_I,oqxA,794
fosA,sul1,785
APH6_Id,MarR,753
APH6_Id,"folA,_Dfr",746
APH3_Ib,APH6_Id,745
MarR,TetA,744
"folA,_Dfr",TetA,744
APH6_Ic_APH6_Id,MarR,735
APH6_Ic_APH6_Id,"folA,_Dfr",735
APH6_Ic_APH6_Id,APH6_Id,734
MarR,tetC,734
APH3_Ib,MarR,731
"folA,_Dfr",tetC,730
APH3_Ib,"folA,_Dfr",724
APH3_I,APH6_Id,718
APH3_I,APH6_Ic_APH6_Id,718
TetA,tetC,715
APH3_I,APH3_Ib,711
APH3_Ib,APH6_Ic_APH6_Id,711
oqxB,sul2,693
APH6_Id,oqxB,692
oqxA,sul2,691
APH6_Id,oqxA,690
"AAC3_II,III,IV,VI,VIII,IX,X",MarR,685
"AAC3_II,III,IV,VI,VIII,IX,X","folA,_Dfr",685
APH3_Ib,oqxB,670
APH3_Ib,oqxA,668
APH6_Ic_APH6_Id,oqxB,662
APH6_Ic_APH6_Id,oqxA,660
APH3_I,sul2,658
APH6_Id,sul2,658
APH3_Ib,sul2,651
fosA,sul2,636
APH3_I,sul1,627
APH6_Ic_APH6_Id,sul2,627
MarR,tetA,625
"AAC3_II,III,IV,VI,VIII,IX,X",oqxB,621
"folA,_Dfr",tetA,621
"AAC3_II,III,IV,VI,VIII,IX,X",oqxA,619
APH3_I,fosA,610
AAC6_Ib_cr,MarR,606
AAC6_Ib_cr,"folA,_Dfr",600
"folA,_Dfr",QnrB_family,598
MarR,QnrB_family,596
AAC6_Ib_cr,oqxB,595
AAC6_Ib_cr,oqxA,593
tetA,TetA,582
aph3_Ib,MarR,580
aph3_Ib,APH3_Ib,580
aph3_Ib,APH6_Id,579
"folA,_Dfr",mphA,577
tetA,tetC,576
MarR,mphA,575
aph3_Ib,"folA,_Dfr",574
"folA,_Dfr",MphA_family,569
mphA,MphA_family,569
MarR,MphA_family,567
aph3_Ib,APH6_Ic_APH6_Id,566
APH3_I,aph3_Ib,566
"folA,_Dfr",QnrS1,566
sul1,sul2,565
MarR,QnrS1,565
MarR,QnrB10,563
"folA,_Dfr",QnrB10,563
oqxB,tetC,562
oqxB,TetA,562
oqxA,tetC,560
oqxA,TetA,560
QnrB_family,QnrS1,558
mphA,sul1,546
sul2,tetC,540
sul2,TetA,540
oqxB,QnrB10,538
oqxA,QnrB10,538
fosA,tetA,535
