gene,frequency
emrB,2433
rpoB,2410
gyrB,2409
rho,2400
parC,2389
parE,2388
murA,2388
folP,2383
rpoC,2383
cpxA,2381
cysB,2373
emrD,2372
leuO,2364
alaS,2359
gyrA,2359
patA,2357
mdfA,2357
baeR,2356
msbA,2355
mfd,2354
soxR,2354
acrB,2354
mdtD,2354
cpxR,2354
kdpE,2353
mdtB,2353
marA,2353
acrA,2353
CRP,2353
robA,2353
bacA,2353
acrR,2351
mdtH,2351
FosA5,2350
YojI,2350
emrR,2349
mdtA,2348
emrA,2348
mdtG,2348
PmrF,2348
H_NS,2348
marR,2345
nfsA,2345
PhoP,2343
UhpT,2342
GlpT,2342
mdtC,2340
mdtK,2339
OmpK35,2337
soxS,2335
dxr,2328
MurA,2316
GdpD,2316
Iso_tRNA,2316
EF_G,2316
MacA,2316
S12p,2315
Alr,2313
PgsA,2313
S10p,2312
MarA,2308
MarB,2307
MarR,2307
gidB,2295
"folA,_Dfr",2294
OprB,2273
Ddl,2272
OxyR,2270
MacB,2270
kasA,2270
MdtM,2270
TolC_OpmH,2270
EF_Tu,2269
AcrAB_TolC,2269
AcrZ,2268
MdtABC_TolC,2268
AcrEF_TolC,2268
MdfA_Cmr,2268
BcrC,2268
EmrAB_TolC,2267
AcrAD_TolC,2267
MdtL,2267
"inhA,_fabI",2264
SugE,2264
KatG,2263
EmrD,2261
OccD6_OprQ,2244
SHV_family,2241
ramA,2206
ramR,2192
oqxB,1985
oqxA,1972
tuf,1927
vgaC,1631
fosA,1540
csrA,1534
OmpK36,1509
lptD,1419
arnT,1384
fyuA,1376
acrD,1374
uhpT,1365
mprA,1363
ompA,1361
mdtQ,1360
arnC,1353
crp,1350
eptB,1345
ddlA,1329
kpnF,1313
kpnE,1312
kdeA,1305
ompK37,1301
SHV_11,1282
TEM_family,1235
TEM_1,1209
CTX_M_family,1178
sul1,1171
QacE,1169
sul2,900
APH3_I,897
APH6_Id,768
tetC,747
APH3_Ib,746
TetA,744
APH6_Ic_APH6_Id,735
KPC_family,691
"AAC3_II,III,IV,VI,VIII,IX,X",685
tetA,627
AAC6_Ib_cr,622
KPC_2,617
CTX_M_15,616
aadA,604
QnrB_family,598
mphA,588
Mrx,587
aph3_Ib,580
QnrS1,570
MphA_family,569
QnrB10,563
rseD,543
aadA2,494
dfrA14,485
SHV_1,467
OXA_1,455
APH3_Ia,449
OXA_1_family,434
dfrA12,423
AAC3_IIa,413
rmtB,388
AAC6_Ib_AAC6_II,356
SHV_64,339
NDM_family,328
arr_3,316
floR,313
FloR_family,306
aac3_IId,301
CTX_M_65,288
AAC6_Ib8,280
OXA_48_family,270
SHV_28,268
AAC6_Ib,254
QnrB1,248
catII,245
CatA2_family,244
ble,242
LAP_family,237
catI,231
CatA1_CatA4_family,230
CatB_family,228
AAC3_IIc,226
