genome_id,genome_name,other_names,ncbi_taxon_id,taxon_lineage_i_ds,taxon_lineage_names,superkingdom,kingdom,phylum,class,order,family,genus,species,genome_status,strain,serovar,biovar,pathovar,mlst,segment,subtype,h_type,n_type,h1_clade_global,h1_clade_us,h5_clade,p_h1n1_like,lineage,clade,subclade,other_typing,culture_collection,type_strain,reference,genome_quality,completion_date,publication,authors,bio_project_accession,bio_sample_accession,assembly_accession,sra_accession,gen_bank_accessions,sequencing_center,sequencing_status,sequencing_platform,sequencing_depth,assembly_method,chromosome,plasmids,contigs,size,gc_content,contig_l50,contig_n50,trna,rrna,mat_peptide,cds,coarse_consistency,fine_consistency,check_m_contamination,check_m_completeness,genome_quality_flags,isolation_source,isolation_comments,collection_date,collection_year,season,isolation_country,state_province,county,city,geographic_group,geographic_location,other_environmental,host_name,host_common_name,host_sex,host_age,host_health,host_group,lab_host,passage,other_clinical,additional_metadata,comments,date_inserted,date_modified
1049565.4,Klebsiella pneumoniae KCTC 2242,NA,1049565,131567;2;3379134;1224;1236;91347;543;2890311;570;3390273;573;1049565,cellular organisms;Bacteria;Pseudomonadati;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Klebsiella/Raoultella group;Klebsiella;Klebsiella pneumoniae complex;Klebsiella pneumoniae;Klebsiella pneumoniae KCTC 2242,Bacteria,Pseudomonadati,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Klebsiella,Klebsiella pneumoniae,Complete,KCTC 2242,NA,NA,NA,MLST.klebsiella.375,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Good,2011-07-12T00:00:00Z,NA,NA,PRJNA67293,SAMN02603582,GCA_000220485.1,NA,"CP002910,CP002911",Macrogen Inc.,Complete,NA,NA,NA,NA,1,2,5462423,57.28,1,5259571,88,25,NA,5189,99.3,97.6,1,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-,2014-12-08T22:11:49Z,2015-03-16T03:17:09Z
1123862.3,Klebsiella pneumoniae subsp. pneumoniae Kp13,NA,1123862,131567;2;3379134;1224;1236;91347;543;2890311;570;3390273;573;72407;1123862,cellular organisms;Bacteria;Pseudomonadati;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Klebsiella/Raoultella group;Klebsiella;Klebsiella pneumoniae complex;Klebsiella pneumoniae;Klebsiella pneumoniae subsp. pneumoniae;Klebsiella pneumoniae subsp. pneumoniae Kp13,Bacteria,Pseudomonadati,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Klebsiella,Klebsiella pneumoniae,Complete,Kp13,NA,NA,NA,MLST.klebsiella.442,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Good,2013-12-30T00:00:00Z,NA,NA,PRJNA78291,SAMN02641520,GCA_000512165.1,NA,"CP003999.1,CP003998.1,CP004000.1,CP003997.1,CP003994.1,CP003996.1,CP003995.1",Laborat¿¿¿¿¿¿rio Nacional de Computa¿¿¿¿¿¿¿¿¿¿o Cient¿¿¿¿¿¿fica,Complete,NA,NA,NA,NA,6,7,5739888,56.8079,1,5307003,86,25,NA,5453,99.6,97.7,0.7,100,NA,blood,NA,2009,2009,NA,Brazil,NA,NA,NA,South America,Brazil,NA,"Human, Homo sapiens",Human,NA,NA,NA,Human,NA,NA,NA,NA,The emergence and global spread of Klebsiella pneumoniae carbapenemase-producing K. pneumoniae are a significant threat to public health. This study aims to sequence and analyze one such isolate.,2014-12-08T22:11:50Z,2015-03-16T03:17:09Z
1125630.4,Klebsiella pneumoniae subsp. pneumoniae HS11286,NA,1125630,131567;2;3379134;1224;1236;91347;543;2890311;570;3390273;573;72407;1125630,cellular organisms;Bacteria;Pseudomonadati;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Klebsiella/Raoultella group;Klebsiella;Klebsiella pneumoniae complex;Klebsiella pneumoniae;Klebsiella pneumoniae subsp. pneumoniae;Klebsiella pneumoniae subsp. pneumoniae HS11286,Bacteria,Pseudomonadati,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Klebsiella,Klebsiella pneumoniae,Complete,HS11286,NA,NA,NA,MLST.klebsiella.11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Reference,Good,2011-12-21T00:00:00Z,NA,NA,PRJNA78789,SAMN02602959,GCA_000240185.2,NA,"CP003223,CP003200,CP003224,CP003225,CP003226,CP003227,CP003228","Bioinformatics & Microbial Genomics, State Key Laboratory of Microbial Metabolism, Shanghai Jiaotong University",Complete,NA,NA,NA,NA,6,7,5682322,57.12,1,5333942,88,25,NA,5523,99.5,96.6,1,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Comparative genome analysis,2014-12-08T22:11:50Z,2015-03-16T03:17:09Z
1193292.6,Klebsiella pneumoniae subsp. pneumoniae 1084,NA,1193292,131567;2;3379134;1224;1236;91347;543;2890311;570;3390273;573;72407;1193292,cellular organisms;Bacteria;Pseudomonadati;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Klebsiella/Raoultella group;Klebsiella;Klebsiella pneumoniae complex;Klebsiella pneumoniae;Klebsiella pneumoniae subsp. pneumoniae;Klebsiella pneumoniae subsp. pneumoniae 1084,Bacteria,Pseudomonadati,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Klebsiella,Klebsiella pneumoniae,Complete,1084,NA,NA,NA,MLST.klebsiella.23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Good,2012-08-29T00:00:00Z,NA,NA,PRJNA167369,SAMN02603641,GCA_000294365.1,NA,CP003785.1,National Chung Hsing University,Complete,NA,NA,NA,NA,NA,1,5386705,57.4,1,5386705,80,25,NA,5045,99.2,97.8,0.3,99.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"'Complete genome sequencing of K. pneumoniae 1084, a hypermucoviscosity-negative clinical isloate strain.'",2014-12-08T22:11:50Z,2015-03-16T03:17:09Z
1199150.3,Klebsiella pneumoniae subsp. pneumoniae KP5-1,NA,1199150,131567;2;3379134;1224;1236;91347;543;2890311;570;3390273;573;72407;1199150,cellular organisms;Bacteria;Pseudomonadati;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Klebsiella/Raoultella group;Klebsiella;Klebsiella pneumoniae complex;Klebsiella pneumoniae;Klebsiella pneumoniae subsp. pneumoniae;Klebsiella pneumoniae subsp. pneumoniae KP5-1,Bacteria,Pseudomonadati,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Klebsiella,Klebsiella pneumoniae,Complete,KP5-1,NA,NA,NA,MLST.klebsiella.3940,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Good,2014-06-27T00:00:00Z,25146146,NA,PRJNA168515,SAMN02746181,GCA_000714635.1,NA,"CP008700.1,CP008701.1",USDA-ARS,Complete,454,16.0x,GS De Novo Assembler v. 2.7,NA,1,2,5551467,57.2718,1,5365144,76,6,NA,5410,99.4,96.9,3,98,NA,NA,NA,2005,2005,NA,USA,NA,NA,NA,NA,United States,NA,"Southern green stink bug, Nezara viridula",NA,NA,NA,NA,NA,NA,NA,NA,NA,"The genome sequence of a bacterial cotton pathogen was generated for the purpose of defining the genetics of the pathogenicity. Novel gene products involved in boll diseases are expected to be identified. These data will likely illuminate basic mechanisms that relate to the infection process interference with cell wall or other cellular metabolism, and seed and fiber development. This investigation will accelerate our goal of developing technology to alert producers of potential pathogen reservoirs and the presence of infectious agents in stink bugs as well as determine whether there is an increased probability for stink bugs to carry pathogens.",2014-12-08T22:33:01Z,2015-03-16T03:17:09Z
1225181.3,Klebsiella pneumoniae subsp. pneumoniae KPNIH24,NA,1225181,131567;2;3379134;1224;1236;91347;543;2890311;570;3390273;573;72407;1225181,cellular organisms;Bacteria;Pseudomonadati;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Klebsiella/Raoultella group;Klebsiella;Klebsiella pneumoniae complex;Klebsiella pneumoniae;Klebsiella pneumoniae subsp. pneumoniae;Klebsiella pneumoniae subsp. pneumoniae KPNIH24,Bacteria,Pseudomonadati,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Klebsiella,Klebsiella pneumoniae,Complete,KPNIH24,NA,NA,NA,MLST.klebsiella.258,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Good,2014-06-27T00:00:00Z,-,NA,PRJNA173233,SAMN02786855,GCA_000714675.1,NA,"CP008797.1,CP008800.1,CP008799.1,CP008798.1",NISC,Complete,Pacific Biosciences RS II,173x,HGAP v. 2,NA,1,4,5734564,57.1176,1,5396164,87,25,NA,5550,99.3,97.9,NA,100,NA,throat/groin,NA,2012,2012,NA,USA,NA,NA,NA,NA,United States,NA,"Human, Homo sapiens",Human,NA,NA,NA,Human,NA,NA,NA,NA,Whole genome sequencing of carbapenem-resistant Klebsiella pneumoniae.,2014-12-08T22:33:27Z,2015-03-16T03:17:09Z
1226680.5,Klebsiella pneumoniae subsp. pneumoniae Ecl8,NA,1226680,131567;2;3379134;1224;1236;91347;543;2890311;570;3390273;573;72407;1226680,cellular organisms;Bacteria;Pseudomonadati;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Klebsiella/Raoultella group;Klebsiella;Klebsiella pneumoniae complex;Klebsiella pneumoniae;Klebsiella pneumoniae subsp. pneumoniae;Klebsiella pneumoniae subsp. pneumoniae Ecl8,Bacteria,Pseudomonadati,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Klebsiella,Klebsiella pneumoniae,Complete,Ecl8,NA,NA,NA,MLST.klebsiella.375,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Good,2022-07-25T00:00:00Z,NA,NA,PRJNA721588,SAMN18721477,GCA_024397815.1,NA,"CP073076,CP073077",NA,Complete,PacBio Sequel; Illumina NovaSeq,206.589x,Unicycler v. 0.4.8,NA,1,2,5511600,57.23195,1,5306902,86,25,NA,5490,99.7,98.2,0.1,100,NA,NA,NA,1982,1982,NA,USA,NA,NA,NA,North America,USA: Baltimore,NA,Homo sapiens,Human,NA,NA,NA,Human,NA,NA,NA,NA,NA,2022-07-30T13:25:30Z,2022-07-30T13:25:30Z
1244085.3,Klebsiella pneumoniae CG43,NA,1244085,131567;2;3379134;1224;1236;91347;543;2890311;570;3390273;573;1244085,cellular organisms;Bacteria;Pseudomonadati;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Klebsiella/Raoultella group;Klebsiella;Klebsiella pneumoniae complex;Klebsiella pneumoniae;Klebsiella pneumoniae CG43,Bacteria,Pseudomonadati,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Klebsiella,Klebsiella pneumoniae,Complete,CG43,NA,NA,NA,MLST.klebsiella.86,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Good,2013-10-18T00:00:00Z,NA,NA,PRJNA177782,SAMN02603668,GCA_000474015.1,NA,CP006648.1,National Tsing Hua University,Complete,Illumina; Sanger,200X,ABySS v. V,NA,NA,1,5166857,57.6,1,5166857,81,25,NA,4855,99.3,98.2,NA,100,NA,liver abscess,NA,NA,NA,NA,Taiwan,NA,NA,NA,Asia,"Taiwan: Chang-Gung Memorial Hospital, Keelung City",NA,"Human, Homo sapiens",Human,NA,NA,NA,Human,NA,NA,NA,NA,Complete genome sequence of Klebsiella pneumoniae CG43.  Clinical isolates from Chang-Gung Memorial Hospital.,2014-12-08T22:11:49Z,2015-03-16T03:17:09Z
1250520.6,Klebsiella pneumoniae RYC492,NA,1250520,131567;2;3379134;1224;1236;91347;543;2890311;570;3390273;573;1250520,cellular organisms;Bacteria;Pseudomonadati;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Klebsiella/Raoultella group;Klebsiella;Klebsiella pneumoniae complex;Klebsiella pneumoniae;Klebsiella pneumoniae RYC492,Bacteria,Pseudomonadati,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Klebsiella,Klebsiella pneumoniae,Complete,RYC492,NA,NA,NA,MLST.klebsiella.35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Good,2023-06-19T00:00:00Z,NA,NA,PRJNA179092,SAMN35679689,GCA_030291155.1,NA,"CP127839,CP127841,CP127840",NA,NA,Illumina; Oxford Nanopore MinION,1108.0x,Trycycler v. 0.5.0,NA,2,3,5371971,57.41939,1,5314411,86,25,NA,5233,99.6,98.6,0.1,100,NA,human feces,NA,1970-1976,NA,NA,Spain,NA,NA,NA,Europe,Spain: Madrid,NA,Homo sapiens,Human,NA,NA,NA,Human,NA,NA,NA,collected_by:Fernando Baquero,NA,2023-07-12T03:05:43Z,2023-07-12T03:05:43Z
1263871.1,Klebsiella pneumoniae ATCC BAA-2146,NA,1263871,131567;2;3379134;1224;1236;91347;543;2890311;570;3390273;573;1263871,cellular organisms;Bacteria;Pseudomonadati;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Klebsiella/Raoultella group;Klebsiella;Klebsiella pneumoniae complex;Klebsiella pneumoniae;Klebsiella pneumoniae ATCC BAA-2146,Bacteria,Pseudomonadati,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Klebsiella,Klebsiella pneumoniae,Complete,ATCC BAA-2146,NA,NA,NA,MLST.klebsiella.11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,ATCC:BAA-2146,NA,NA,Good,2014-06-13T00:00:00Z,24905728,NA,PRJNA183901,SAMN02152539,GCF_000364385.2,"SRR1185120,SRR931757",APNN00000000,Sandia National Laboratories,Complete,Illumina MiSeq; Pacific Biosystems,85X (Illumina),Newbler GS De Novo Assembler v. 2.8,NA,4,5,5781127,56.97,1,5435369,86,24,NA,5822,99.5,97.6,NA,100,NA,urine,isolated in the U.S,2010,2010,NA,USA,NA,NA,NA,NA,United States,NA,"Human, Homo sapiens",Human,NA,NA,urinary tract infection,Human,NA,NA,NA,collected_by:CDC,"First Klebsiella strain isolated in the U.S. to be reported as a 'superbug', i.e., positive for the NDM1 antibiotic resistance gene.",2016-01-17T15:30:26Z,2016-01-17T15:30:26Z
