genome_id,genome_name,antibiotic,phenotype,measurement,measurement_sign,measurement_value,measurement_unit,testing_standard,testing_standard_year,genome_status,genome_quality,contigs,size,gc_content,contig_n50,check_m_completeness,check_m_contamination,genome_quality_flags,strain,isolation_country,collection_year,host_name,isolation_source
573.12457,Klebsiella pneumoniae strain BK13043,meropenem,Susceptible,NA,NA,NA,NA,NA,NA,Complete,Good,4,5896654,56.99,5594550,100,0.3,NA,BK13043,USA,2004,"Human, Homo sapiens",NA
573.12458,Klebsiella pneumoniae strain KPN1482,meropenem,Resistant,NA,NA,NA,NA,NA,NA,Complete,Good,6,5965284,56.71,5591645,100,0.3,NA,KPN1482,USA,2014,"Human, Homo sapiens",respiratory
573.12459,Klebsiella pneumoniae strain KPN1481,meropenem,Susceptible,NA,NA,NA,NA,NA,NA,Complete,Good,6,6106127,56.73,5554150,98.3,2.4,NA,KPN1481,USA,2014,"Human, Homo sapiens",urine
573.1246,Klebsiella pneumoniae strain KPN528,meropenem,Resistant,NA,NA,NA,NA,NA,NA,Complete,Good,4,5973075,56.7,5383018,100,2,NA,KPN528,USA,2012,"Human, Homo sapiens",respiratory
573.12771,Klebsiella pneumoniae strain AR_0126,meropenem,Resistant,==16,=,16,mg/L,CLSI,NA,Complete,Good,4,5598174,57.26,5388754,100,NA,NA,AR_0126,NA,NA,NA,NA
573.12772,Klebsiella pneumoniae strain AR_0113,meropenem,Resistant,>8,>,8,mg/L,CLSI,NA,Complete,Good,6,5849839,56.96,5380979,100,NA,NA,AR_0113,NA,NA,NA,NA
573.12777,Klebsiella pneumoniae strain AR_0120,meropenem,Resistant,NA,NA,NA,NA,NA,NA,Complete,Good,5,5995730,56.91,5514199,100,NA,NA,AR_0120,NA,NA,NA,NA
573.12778,Klebsiella pneumoniae strain AR_0125,meropenem,Resistant,NA,NA,NA,NA,NA,NA,Complete,Good,6,5726558,57.1,5322544,100,NA,NA,AR_0125,NA,NA,NA,NA
573.12779,Klebsiella pneumoniae strain AR_0139,meropenem,Resistant,>8,>,8,mg/L,CLSI,NA,Complete,Good,5,6054276,56.57,5606368,99.7,NA,NA,AR_0139,NA,NA,NA,NA
573.12782,Klebsiella pneumoniae strain AR_0148,meropenem,Resistant,NA,NA,NA,NA,NA,NA,Complete,Good,5,5798614,56.81,5328319,100,NA,NA,AR_0148,NA,NA,NA,NA
573.12792,Klebsiella pneumoniae strain 19051,meropenem,Susceptible,NA,NA,NA,NA,NA,NA,Complete,Good,1,5332976,57.41,5332976,100,0.1,NA,19051,NA,NA,"Human, Homo sapiens",urine
573.12796,Klebsiella pneumoniae strain MLST-15,meropenem,Resistant,NA,NA,NA,NA,NA,NA,Complete,Good,4,5816577,56.86,5377031,100,NA,NA,MLST-15,USA,2016,"Human, Homo sapiens",wound
573.1352,Klebsiella pneumoniae strain blaNDM-1,meropenem,Susceptible,<=1,<=,1,mg/L,CLSI,2017,Complete,Good,3,5510332,57.26,5297511,100,0.3,NA,carbapenem-resistant blaNDM-1,USA,2012,"Human, Homo sapiens",clinical urine culture
573.1358,Klebsiella pneumoniae strain PMK1,meropenem,Susceptible,NA,NA,NA,NA,NA,NA,Complete,Good,5,5990738,56.57,5317001,100,0.3,NA,PMK1,Nepal,2011,"Human, Homo sapiens",Blood
573.1361,Klebsiella pneumoniae strain XH209,meropenem,Susceptible,NA,NA,NA,NA,NA,NA,Complete,Good,1,5118878,57.63,5118878,100,NA,NA,XH209,China,2013,"Human, Homo sapiens",blood from patient with pneumonia
573.1369,Klebsiella pneumoniae strain 32192,meropenem,Susceptible,NA,NA,NA,NA,NA,NA,Complete,Good,4,5620801,57.24,5344430,100,0.3,NA,32192,USA,2010,"Human, Homo sapiens",Urine
573.1374,Klebsiella pneumoniae strain 34618,meropenem,Susceptible,NA,NA,NA,NA,NA,NA,Complete,Good,5,5649912,57.21,5313576,100,NA,NA,34618,USA,2011,"Human, Homo sapiens",bronchoalveolar lavage
573.14839,Klebsiella pneumoniae strain BIC-1,meropenem,Resistant,NA,NA,NA,NA,NA,NA,Complete,Good,4,5621950,57.16,5394314,100,NA,NA,BIC-1,France,2009,"Human, Homo sapiens",NA
573.1488,Klebsiella pneumoniae strain CIP 52.145,meropenem,Resistant,NA,NA,NA,NA,NA,NA,Complete,Good,3,5655684,57.1,5438894,100,0.3,NA,CIP 52.145,NA,NA,NA,NA
573.1493,Klebsiella pneumoniae strain yzusk-4,meropenem,Resistant,NA,NA,NA,NA,NA,NA,Complete,Good,1,5081069,54.93,5081069,98.3,1,NA,yzusk-4,China,2007,NA,rugao ham
573.1497,Klebsiella pneumoniae strain CAV1596,meropenem,Resistant,NA,NA,NA,NA,NA,NA,Complete,Good,5,5620516,57.13,5402147,100,NA,NA,CAV1596,USA,2012,"Human, Homo sapiens",Perirectal
573.14988,Klebsiella pneumoniae strain 911021,meropenem,Susceptible,NA,NA,NA,NA,NA,NA,Complete,Good,1,5456357,57.46,5456357,100,NA,NA,911021,China,2014,"Human, Homo sapiens",urine
573.1499,Klebsiella pneumoniae strain CAV1392,meropenem,Susceptible,NA,NA,NA,NA,NA,NA,Complete,Good,4,5552491,57.26,5328319,100,NA,NA,CAV1392,USA,2011,"Human, Homo sapiens",Sputum
573.15,Klebsiella pneumoniae strain CAV1344,meropenem,Resistant,NA,NA,NA,NA,NA,NA,Complete,Good,6,5810009,57.08,5262013,100,0.3,NA,CAV1344,USA,2010,"Human, Homo sapiens",Urine
573.15001,Klebsiella pneumoniae strain 721005,meropenem,Susceptible,NA,NA,NA,NA,NA,NA,Complete,Good,1,5475860,57.38,5475860,100,NA,NA,721005,China,2013,"Human, Homo sapiens",urine
573.15107,Klebsiella pneumoniae strain AR_0129,meropenem,Resistant,==16,=,16,mg/L,CLSI,NA,Complete,Good,6,5835823,56.9,5418909,99.7,0.3,NA,AR_0129,NA,NA,NA,NA
573.15108,Klebsiella pneumoniae strain AR_0143,meropenem,Resistant,>8,>,8,mg/L,CLSI,NA,Complete,Good,5,5989257,56.9,5439290,100,NA,NA,AR_0143,NA,NA,NA,NA
573.15217,Klebsiella pneumoniae strain AR_0112,meropenem,Resistant,>8,>,8,mg/L,CLSI,NA,Complete,Good,6,5859680,56.97,5382888,100,NA,NA,AR_0112,NA,NA,NA,NA
573.15234,Klebsiella pneumoniae strain FDAARGOS_445,meropenem,Susceptible,NA,NA,NA,NA,NA,NA,Complete,Good,2,5537327,57.28,5402136,100,0.3,NA,FDAARGOS_445,Canada,2013,"Human, Homo sapiens",urine
573.15309,Klebsiella pneumoniae strain FDAARGOS_444,meropenem,Resistant,NA,NA,NA,NA,NA,NA,Complete,Good,5,5880984,57.07,5484708,100,NA,NA,FDAARGOS_444,Canada,2013,"Human, Homo sapiens",wound
573.1531,Klebsiella pneumoniae strain FDAARGOS_446,meropenem,Resistant,NA,NA,NA,NA,NA,NA,Complete,Good,4,5769651,57.06,5392753,100,NA,NA,FDAARGOS_446,Canada,2014,"Human, Homo sapiens",Rectal
573.15312,Klebsiella pneumoniae strain FDAARGOS_439,meropenem,Susceptible,NA,NA,NA,NA,NA,NA,Complete,Good,6,5752865,57.01,5240335,100,1,NA,FDAARGOS_439,Canada,2014,"Human, Homo sapiens",urine
573.15317,Klebsiella pneumoniae strain FDAARGOS_440,meropenem,Susceptible,NA,NA,NA,NA,NA,NA,Complete,Good,6,5606744,57.18,5315094,100,0.7,NA,FDAARGOS_440,Canada,2015,"Human, Homo sapiens",blood
573.15318,Klebsiella pneumoniae strain FDAARGOS_447,meropenem,Resistant,NA,NA,NA,NA,NA,NA,Complete,Good,7,5789969,57.15,5226396,99.7,NA,NA,FDAARGOS_447,Canada,2014,"Human, Homo sapiens",Perirectal
573.15319,Klebsiella pneumoniae strain FDAARGOS_436,meropenem,Susceptible,NA,NA,NA,NA,NA,NA,Complete,Good,7,5625903,57.19,5344312,100,NA,NA,FDAARGOS_436,Canada,2014,"Human, Homo sapiens",respiratory
573.1532,Klebsiella pneumoniae strain FDAARGOS_442,meropenem,Resistant,NA,NA,NA,NA,NA,NA,Complete,Good,7,5727717,57.06,5329011,100,0.3,NA,FDAARGOS_442,Canada,2010,"Human, Homo sapiens",blood
573.15321,Klebsiella pneumoniae strain FDAARGOS_443,meropenem,Resistant,NA,NA,NA,NA,NA,NA,Complete,Good,8,5951576,57.05,5460389,100,NA,NA,FDAARGOS_443,Canada,2012,"Human, Homo sapiens",Rectal
